ID,Task 1 ,Task 2,Task 3,Task 4,End 
1AA,48071,48175,48205,48301,48405
1AB,48729,,48776,48818,48878
1AC,48936,,49001,49056,49103
1AD,49177,,49216,49265,49290
1AE,49354,,49389,49495,49498
1AF,49569,,49592,49592,49621
1AG,49685,,49704,49704,49740
1-E1,49806,,49834,49893,49922
1-F1,49992,,50017,50017,50115
1-G1,50181,,50208,50208,50290
1-H1,50363,,50372,50372,50425
1-I1,50497,,50514,50514,50553
1-J1,50602,,50614,50783,50824
1-K1,51044,,51078,51234,51242
1-L1,51414,,51425,51425,51444
1-M1,51512,,51525,51525,51550
1-N1,51581,,51608,51608,51629
1-O1,51713,,51769,51769,51822
1-P1,51903,,51939,52020,52087
1-Q1,52189,,52244,52358,52409
1-R1,52462,52485,52530,52596,52642
1-S1,52695,52720,52737,52792,52815
1-T1,52817,52904,52925,53021,53038
1-U1,53097,53111,53105,53202,53245
1-V1,53313,53327,53339,53339,53377